case-5595,Confirmation of receipt - complete, 17,2011/03/08 09:54:58.423, 1, 1, 4, 16, 3
case-5595,T06 Determine necessity of stop advice - complete, 17,2011/03/08 09:56:18.083, 1, 1, 4, 16, 1
case-5595,T08 Draft and send request for advice - complete, 17,2011/03/08 09:57:10.588, 1, 1, 4, 16, 1
case-5595,T07-1 Draft intern advice aspect 1 - complete, 17,2011/03/08 10:03:22.949, 1, 1, 4, 16, 6
case-5595,T07-2 Draft intern advice aspect 2 - complete, 17,2011/03/08 10:03:43.830, 1, 1, 4, 16, 9
case-5595,T09-1 Process or receive external advice from party 1 - complete, 17,2011/03/08 10:04:03.072, 1, 1, 4, 16, 1
case-5595,T06 Determine necessity of stop advice - complete, 17,2011/03/08 10:04:17.627, 1, 1, 4, 16, 1
case-5595,T10 Determine necessity to stop indication - complete, 17,2011/03/08 10:04:36.616, 1, 1, 4, 16, 1
case-5595,T02 Check confirmation of receipt - complete, 23,2011/03/24 10:32:54.458, 1, 1, 4, 16, 3
case-5595,T03 Adjust confirmation of receipt - complete, 17,2011/04/18 14:29:18.014, 1, 1, 4, 16, 1
case-5595,T02 Check confirmation of receipt - complete, 17,2011/04/18 14:29:36.540, 1, 1, 4, 16, 2
case-5595,T04 Determine confirmation of receipt - complete, 17,2011/04/18 14:29:49.734, 1, 1, 4, 16, 4
case-5595,T05 Print and send confirmation of receipt - complete, 17,2011/04/18 14:30:01.996, 1, 1, 4, 16, 5
case-4641,Confirmation of receipt - complete, 29,2010/12/10 15:58:10.790, 1, 1, 4, 24, 3
case-4641,T06 Determine necessity of stop advice - complete, 29,2010/12/10 15:59:33.005, 1, 1, 4, 24, 1
case-4641,T02 Check confirmation of receipt - complete, 31,2010/12/10 16:02:14.805, 1, 1, 4, 24, 3
case-4641,T10 Determine necessity to stop indication - complete, 29,2010/12/10 16:03:45.699, 1, 1, 4, 24, 1
case-4641,T04 Determine confirmation of receipt - complete, 29,2010/12/10 16:06:24.227, 1, 1, 4, 24, 4
case-4641,T05 Print and send confirmation of receipt - complete, 29,2010/12/10 16:06:34.697, 1, 1, 4, 24, 5
case-4328,Confirmation of receipt - complete, 37,2011/03/01 15:45:50.426, 1, 1, 4, 30, 3
case-4328,T02 Check confirmation of receipt - complete, 37,2011/03/01 15:50:01.543, 1, 1, 4, 30, 2
case-4328,T06 Determine necessity of stop advice - complete, 37,2011/03/01 15:50:53.503, 1, 1, 4, 30, 1
case-4328,T04 Determine confirmation of receipt - complete, 37,2011/03/01 15:52:02.024, 1, 1, 4, 30, 4
case-4328,T05 Print and send confirmation of receipt - complete, 37,2011/03/01 15:53:25.806, 1, 1, 4, 30, 5
case-4328,T10 Determine necessity to stop indication - complete, 37,2011/03/01 15:55:04.214, 1, 1, 4, 30, 1
case-9804,Confirmation of receipt - complete, 30,2011/10/04 08:24:58.199, 1, 1, 3, 3, 3
case-9804,T06 Determine necessity of stop advice - complete, 30,2011/10/05 07:48:09.663, 1, 1, 3, 3, 1
case-9804,T02 Check confirmation of receipt - complete, 30,2011/10/05 07:49:01.184, 1, 1, 3, 3, 3
case-9804,T04 Determine confirmation of receipt - complete, 30,2011/10/05 07:51:06.795, 1, 1, 3, 3, 3
case-9804,T05 Print and send confirmation of receipt - complete, 30,2011/10/05 07:52:16.526, 1, 1, 3, 3, 3
case-9804,T10 Determine necessity to stop indication - complete, 30,2011/10/05 07:52:52.344, 1, 1, 3, 3, 1
case-7477,Confirmation of receipt - complete, 15,2011/05/12 15:09:41.022, 2, 1, 4, 3, 1
case-7477,T02 Check confirmation of receipt - complete, 15,2011/05/12 15:10:02.025, 2, 1, 4, 3, 2
case-7477,T04 Determine confirmation of receipt - complete, 15,2011/05/12 15:10:24.466, 2, 1, 4, 3, 4
case-7477,T05 Print and send confirmation of receipt - complete, 15,2011/05/12 15:10:42.004, 2, 1, 4, 3, 5
case-7477,T06 Determine necessity of stop advice - complete, 29,2011/05/13 14:44:39.096, 2, 1, 4, 3, 1
case-7477,T10 Determine necessity to stop indication - complete, 29,2011/05/13 14:45:00.938, 2, 1, 4, 3, 1
case-6944,Confirmation of receipt - complete, 15,2011/04/28 13:30:26.922, 1, 1, 4, 11, 3
case-6944,T02 Check confirmation of receipt - complete, 15,2011/04/28 13:31:19.663, 1, 1, 4, 11, 2
case-6944,T04 Determine confirmation of receipt - complete, 15,2011/04/28 13:31:55.907, 1, 1, 4, 11, 4
case-6944,T05 Print and send confirmation of receipt - complete, 15,2011/04/28 13:33:43.345, 1, 1, 4, 11, 5
case-6944,T06 Determine necessity of stop advice - complete, 15,2011/04/28 13:34:04.228, 1, 1, 4, 11, 1
case-6944,T10 Determine necessity to stop indication - complete, 15,2011/04/28 14:01:27.029, 1, 1, 4, 11, 1
case-7131,Confirmation of receipt - complete, 29,2011/05/02 10:58:18.808, 1, 1, 4, 3, 3
case-7131,T02 Check confirmation of receipt - complete, 29,2011/05/02 10:58:33.361, 1, 1, 4, 3, 2
case-7131,T04 Determine confirmation of receipt - complete, 29,2011/05/02 10:58:52.488, 1, 1, 4, 3, 4
case-7131,T05 Print and send confirmation of receipt - complete, 29,2011/05/02 10:59:03.746, 1, 1, 4, 3, 5
case-7131,T06 Determine necessity of stop advice - complete, 29,2011/05/02 10:59:23.436, 1, 1, 4, 3, 1
case-7131,T10 Determine necessity to stop indication - complete, 15,2011/05/13 09:51:07.145, 1, 1, 4, 3, 1
case-11399,Confirmation of receipt - complete, 21,2012/01/12 11:11:27.976, 1, 1, 7, 25, 1
case-11399,T06 Determine necessity of stop advice - complete, 30,2012/01/12 11:18:08.932, 1, 1, 7, 25, 1
case-11399,T02 Check confirmation of receipt - complete, 30,2012/01/12 11:18:48.350, 1, 1, 7, 25, 2
case-11399,T04 Determine confirmation of receipt - complete, 30,2012/01/12 11:19:40.782, 1, 1, 7, 25, 3
case-11399,T05 Print and send confirmation of receipt - complete, 30,2012/01/12 11:20:20.992, 1, 1, 7, 25, 5
case-11399,T10 Determine necessity to stop indication - complete, 30,2012/01/12 11:21:00.074, 1, 1, 7, 25, 1
case-11399,T16 Report reasons to hold request - complete, 30,2012/01/12 11:25:33.823, 1, 1, 7, 25, 1
case-11399,T17 Check report Y to stop indication - complete, 30,2012/01/12 11:26:15.750, 1, 1, 7, 25, 2
case-11399,T19 Determine report Y to stop indication - complete, 30,2012/01/12 11:26:54.747, 1, 1, 7, 25, 4
case-11399,T20 Print report Y to stop indication - complete, 30,2012/01/12 11:27:40.453, 1, 1, 7, 25, 5
case-6146,Confirmation of receipt - complete, 7,2011/03/01 15:14:59.796, 1, 1, 4, 6, 3
case-6146,T02 Check confirmation of receipt - complete, 7,2011/03/01 15:15:30.500, 1, 1, 4, 6, 2
case-6146,T06 Determine necessity of stop advice - complete, 7,2011/03/01 15:16:25.593, 1, 1, 4, 6, 1
case-6146,T10 Determine necessity to stop indication - complete, 7,2011/03/01 15:17:22.287, 1, 1, 4, 6, 1
case-6146,T04 Determine confirmation of receipt - complete, 2,2011/03/02 08:58:58.804, 1, 1, 4, 6, 4
case-6146,T05 Print and send confirmation of receipt - complete, 12,2011/03/02 14:27:46.341, 1, 1, 4, 6, 5
case-8550,Confirmation of receipt - complete, 21,2011/07/13 10:50:42.053, 1, 1, 2, 6, 1
case-8550,T02 Check confirmation of receipt - complete, 7,2011/09/23 11:27:41.537, 1, 1, 2, 6, 3
case-8550,T04 Determine confirmation of receipt - complete, 7,2011/09/23 11:28:22.149, 1, 1, 2, 6, 4
case-8550,T05 Print and send confirmation of receipt - complete, 7,2011/09/23 11:30:00.495, 1, 1, 2, 6, 5
case-8550,T06 Determine necessity of stop advice - complete, 7,2011/09/23 11:30:38.375, 1, 1, 2, 6, 3
